Date,AAPL,MSFT,XOM,BP
2022-07-18,145.25657653808594,249.41177368164062,79.74954223632812,24.588348388671875
2022-07-19,149.13812255859375,254.59130859375,81.75948333740234,25.2451171875
2022-07-20,151.1529541015625,257.2791442871094,82.65792846679688,25.31709098815918
2022-07-21,153.43446350097656,259.80029296875,81.27782440185547,24.99320411682129
2022-07-22,152.19000244140625,255.405517578125,80.6572494506836,24.78627586364746
2022-07-25,151.06405639648438,253.9046173095703,83.3433609008789,25.29909896850586
2022-07-26,149.73072814941406,247.10647583007812,83.01918029785156,25.254114151000977
2022-07-27,154.8567352294922,263.6259765625,84.81607818603516,25.874897003173828
2022-07-28,155.4098358154297,271.1501159667969,85.80716705322266,25.61398696899414
2022-07-29,160.50619506835938,275.3976135253906,89.78075408935547,26.432697296142578
2022-08-01,159.51853942871094,272.7196350097656,87.5114517211914,26.135801315307617
2022-08-02,158.03700256347656,269.59033203125,87.13170623779297,26.414705276489258
2022-08-03,164.08157348632812,277.0947265625,84.30664825439453,26.711599349975586
2022-08-04,163.76551818847656,278.2522888183594,80.75914764404297,26.405710220336914
2022-08-05,163.5380401611328,277.5263977050781,81.92619323730469,26.68461036682129
2022-08-08,163.0632781982422,274.98565673828125,82.38931274414062,27.134450912475586
2022-08-09,163.11273193359375,276.927978515625,83.90837860107422,27.503320693969727
2022-08-10,167.38539123535156,283.6574401855469,84.70494842529297,27.710247039794922
2022-08-11,166.64361572265625,281.55816650390625,87.15528106689453,28.60236358642578
2022-08-12,170.21405029296875,286.35516357421875,87.91281127929688,28.829944610595703
2022-08-15,171.29212951660156,287.885498046875,86.34161376953125,28.18361473083496
2022-08-16,171.1338653564453,287.139892578125,85.53730773925781,28.156307220458984
2022-08-17,172.63722229003906,286.38299560546875,86.22937774658203,28.484024047851562
2022-08-18,172.24156188964844,285.2524719238281,88.2682113647461,29.057523727416992
2022-08-19,169.6404266357422,281.300537109375,87.98763275146484,28.684295654296875
2022-08-22,165.7337188720703,273.0428771972656,87.92218017578125,28.866357803344727
2022-08-23,165.3974151611328,271.7550964355469,91.6537857055664,29.631027221679688
2022-08-24,165.69415283203125,271.11614990234375,92.19621276855469,29.394344329833984
2022-08-25,168.16673278808594,274.124267578125,92.67320251464844,29.74026870727539
2022-08-26,161.8269805908203,263.5466003417969,91.53221893310547,29.43075942993164
2022-08-29,159.61155700683594,260.735107421875,93.63650512695312,29.558204650878906
2022-08-30,157.16859436035156,258.5133972167969,90.07322692871094,28.60236358642578
2022-08-31,155.4971160888672,257.038818359375,89.39984893798828,28.07437515258789
2022-09-01,156.22901916503906,255.98690795898438,87.79124450683594,27.846797943115234
2022-09-02,154.10256958007812,251.72047424316406,89.39984893798828,28.33837127685547
2022-09-06,152.83657836914062,248.95811462402344,88.80130004882812,28.33837127685547
2022-09-07,154.2509307861328,253.71609497070312,88.04374694824219,27.91962242126465
2022-09-08,152.76736450195312,254.13877868652344,88.7638931274414,27.946935653686523
2022-09-09,155.6454620361328,259.9781188964844,90.25092315673828,28.8481502532959
2022-09-12,161.63906860351562,262.13104248046875,91.2890396118164,29.248693466186523
2022-09-13,152.15415954589844,247.719482421875,89.15670013427734,28.92098045349121
2022-09-14,153.60804748535156,247.945556640625,91.34515380859375,29.203182220458984
2022-09-15,150.70025634765625,241.22149658203125,88.6890640258789,28.675193786621094
2022-09-16,149.04856872558594,240.59234619140625,87.17398071289062,28.229135513305664
2022-09-19,152.78712463378906,240.37608337402344,87.16461181640625,28.128995895385742
2022-09-20,155.18063354492188,238.34115600585938,86.45384216308594,28.22003173828125
2022-09-21,152.03546142578125,234.90045166015625,85.0603256225586,27.7830753326416
2022-09-22,151.06622314453125,236.89602661132812,84.70494079589844,28.02886390686035
2022-09-23,148.78150939941406,233.88790893554688,80.19707489013672,25.5618839263916
2022-09-26,149.1177978515625,233.42588806152344,78.54169464111328,24.81542205810547
2022-09-27,150.09693908691406,232.40353393554688,80.18770599365234,25.07941246032715
2022-09-28,148.19798278808594,236.98455810546875,83.10567474365234,25.99884033203125
2022-09-29,140.91864013671875,233.4750213623047,82.93732452392578,26.17180061340332
2022-09-30,136.685546875,228.95298767089844,81.65603637695312,25.989736557006836
2022-10-03,140.88897705078125,236.66014099121094,85.9675064086914,27.400737762451172
2022-10-04,144.4989776611328,244.66220092773438,89.10057830810547,28.474924087524414
2022-10-05,144.79568481445312,244.9767303466797,92.7012710571289,28.565954208374023
2022-10-06,143.83631896972656,242.60760498046875,95.45087432861328,28.347475051879883
2022-10-07,138.55484008789062,230.270263671875,94.4875717163086,28.29285430908203
2022-10-10,138.88121032714844,225.36485290527344,92.43938446044922,27.628320693969727
2022-10-11,137.45700073242188,221.58995056152344,91.6537857055664,27.136741638183594
2022-10-12,136.82400512695312,221.9241485595703,92.05594635009766,27.264190673828125
2022-10-13,141.4230499267578,230.270263671875,95.27317810058594,28.356578826904297
2022-10-14,136.86358642578125,224.68653869628906,92.76673126220703,27.61011505126953
2022-10-17,140.8494110107422,233.50454711914062,94.10411834716797,27.746660232543945
2022-10-18,142.1747283935547,234.4580841064453,94.27246856689453,27.746660232543945
2022-10-19,142.2835235595703,232.47235107421875,97.06884765625,28.128995895385742
2022-10-20,141.8186798095703,232.14788818359375,97.19978332519531,28.18361473083496
2022-10-21,145.6561737060547,238.0167236328125,99.00479888916016,28.547746658325195
2022-10-24,147.812255859375,243.05979919433594,99.69686889648438,28.948286056518555
2022-10-25,150.67059326171875,246.4120330810547,99.02349853515625,29.203182220458984
2022-10-26,147.71334838867188,227.39976501464844,100.20191192626953,29.412555694580078
2022-10-27,143.21322631835938,222.90719604492188,100.58535766601562,30.250049591064453
2022-10-28,154.03334045410156,231.87266540527344,103.5313720703125,30.177230834960938
2022-10-31,151.6596221923828,228.19602966308594,103.63424682617188,30.295568466186523
2022-11-01,148.99911499023438,224.30316162109375,104.66301727294922,30.222742080688477
2022-11-02,143.44068908691406,216.36993408203125,102.511962890625,29.822195053100586
2022-11-03,137.3581085205078,210.61907958984375,103.90547180175781,30.077089309692383
2022-11-04,137.0906219482422,217.6380615234375,105.03711700439453,30.878171920776367
2022-11-07,137.62557983398438,224.0082550048828,106.2809829711914,31.25140953063965
2022-11-08,138.20016479492188,224.9912567138672,106.61766815185547,30.705209732055664
2022-11-09,133.61331176757812,220.70518493652344,101.84793853759766,29.748262405395508
2022-11-10,145.50149536132812,238.86216735839844,103.34432220458984,30.31875228881836
2022-11-11,148.30511474609375,242.9221954345703,106.57090759277344,31.137683868408203
2022-11-14,146.8983612060547,237.45640563964844,106.88202667236328,30.870838165283203
2022-11-15,148.64193725585938,237.86929321289062,107.5985336303711,31.20209312438965
2022-11-16,147.4036102294922,238.30300903320312,106.44834899902344,31.257301330566406
2022-11-17,149.31564331054688,238.25372314453125,106.58975982666016,31.60695457458496
2022-11-18,149.88031005859375,237.80027770996094,105.66585540771484,31.321706771850586
2022-11-21,146.63087463378906,238.61851501464844,104.61937713623047,30.4843807220459
2022-11-22,148.78067016601562,241.5562286376953,107.64567565917969,32.10383605957031
2022-11-23,149.66238403320312,244.0701141357422,107.10829162597656,32.1866455078125
2022-11-25,146.72994995117188,243.98138427734375,106.73117065429688,32.453487396240234
2022-11-28,142.87619018554688,238.33261108398438,103.5257568359375,31.956607818603516
2022-11-29,139.8546142578125,236.9228973388672,104.21397399902344,32.490291595458984
2022-11-30,146.65069580078125,251.52293395996094,104.96819305419922,33.033180236816406
2022-12-01,146.92807006835938,251.07931518554688,104.45909118652344,32.8675537109375
2022-12-02,146.43275451660156,251.4046173095703,103.5728988647461,32.53630065917969
2022-12-05,145.26376342773438,246.6529541015625,100.73515319824219,32.20504379272461
2022-12-06,141.57838439941406,241.64498901367188,97.93511962890625,31.625356674194336
2022-12-07,139.62677001953125,240.90560913085938,97.71829223632812,31.20209312438965
2022-12-08,141.32081604003906,243.89266967773438,98.4442138671875,31.22049331665039
2022-12-09,140.8354034423828,241.9407196044922,97.61457824707031,31.01805877685547
2022-12-12,143.14369201660156,248.93019104003906,100.01864624023438,31.376916885375977
2022-12-13,144.1145477294922,253.27769470214844,101.11226654052734,32.2142448425293
2022-12-14,141.87562561035156,253.57345581054688,100.36748504638672,32.02101516723633
2022-12-15,135.22813415527344,245.47984313964844,99.4058609008789,31.542537689208984
2022-12-16,133.2566680908203,241.22108459472656,98.70819091796875,30.990463256835938
2022-12-19,131.13662719726562,237.0411834716797,99.15129852294922,31.2388973236084
2022-12-20,131.0672607421875,238.37203979492188,100.58430480957031,31.358516693115234
2022-12-21,134.18789672851562,240.96475219726562,101.87590026855469,32.23265075683594
2022-12-22,130.99789428710938,234.813232421875,99.82066345214844,31.662158966064453
2022-12-23,130.63137817382812,235.3455810546875,102.4604263305664,32.2142448425293
2022-12-27,128.81842041015625,233.60067749023438,103.88400268554688,32.241851806640625
2022-12-28,124.8655776977539,231.20509338378906,102.17758178710938,31.818588256835938
2022-12-29,128.40232849121094,237.59323120117188,102.95066833496094,31.92901039123535
2022-12-30,128.71932983398438,236.42010498046875,103.98771667480469,32.14064025878906
2023-01-03,123.90463256835938,236.1835174560547,100.41461181640625,31.579345703125
2023-01-04,125.18260955810547,225.8520965576172,100.70687103271484,31.082468032836914
2023-01-05,123.85508728027344,219.15834045410156,102.96009063720703,31.192890167236328
2023-01-06,128.4122314453125,221.74119567871094,104.2045669555664,31.708171844482422
2023-01-09,128.93728637695312,223.90016174316406,102.26244354248047,31.99341583251953
2023-01-10,129.51190185546875,225.60562133789062,103.78972625732422,32.06702423095703
2023-01-11,132.24618530273438,232.4275360107422,104.9964828491211,32.241851806640625
2023-01-12,132.16693115234375,235.12869262695312,106.74060821533203,32.490291595458984
2023-01-13,133.50433349609375,235.8384552001953,106.67462158203125,32.7203369140625
2023-01-17,134.67333984375,236.942626953125,106.46720123291016,32.83994674682617
2023-01-18,133.95016479492188,232.46693420410156,104.27997589111328,32.51789474487305
2023-01-19,134.00958251953125,228.64195251464844,104.9493408203125,32.70192337036133
2023-01-20,136.58535766601562,236.814453125,106.86316680908203,32.66511535644531
2023-01-23,139.79518127441406,239.14097595214844,106.30693817138672,32.73873519897461
2023-01-24,141.20193481445312,238.608642578125,107.2968521118164,32.47188949584961
2023-01-25,140.53819274902344,237.19891357421875,106.73117065429688,32.42588424682617
2023-01-26,142.61863708496094,244.48414611816406,111.02079772949219,33.355224609375
2023-01-27,144.57025146484375,244.64187622070312,108.99382781982422,33.41963577270508
2023-01-30,141.6675567626953,239.26914978027344,107.06114959716797,33.2816162109375
2023-01-31,142.94554138183594,244.2968292236328,109.3709487915039,33.336830139160156
2023-02-01,144.07492065429688,249.1667938232422,108.17361450195312,33.53005599975586
2023-02-02,149.41470336914062,260.84881591796875,104.78907012939453,32.389076232910156
2023-02-03,153.06040954589844,254.68740844726562,105.51500701904297,32.34306716918945
2023-02-06,150.31622314453125,253.12979125976562,105.33587646484375,32.05782699584961
2023-02-07,153.20899963378906,263.76690673828125,108.34331512451172,34.735443115234375
2023-02-08,150.5044403076172,262.9486389160156,107.40055084228516,35.56357192993164
2023-02-09,149.46420288085938,259.8826904296875,107.80593872070312,36.391700744628906
2023-02-10,149.8313446044922,259.3700866699219,112.35009002685547,37.40386199951172
2023-02-13,152.64918518066406,267.4735412597656,111.9130859375,37.36705780029297
2023-02-14,152.00425720214844,268.3115234375,110.60204315185547,37.74431610107422
2023-02-15,154.1176300048828,266.1668701171875,110.26954650878906,37.61549377441406
2023-02-16,152.51026916503906,259.080810546875,109.94654083251953,38.04941177368164
2023-02-17,151.3593292236328,255.03875732421875,105.71891021728516,37.1852912902832
2023-02-21,147.32107543945312,249.7118377685547,105.61441040039062,36.95299530029297
2023-02-22,147.74774169921875,248.5654296875,104.24638366699219,36.1724967956543
2023-02-23,148.23391723632812,251.78724670410156,105.20589447021484,36.8693733215332
2023-02-24,145.56492614746094,246.30223083496094,105.21540069580078,36.88795852661133
2023-02-27,146.76547241210938,247.23123168945312,105.02539825439453,37.37112808227539
2023-02-28,146.25942993164062,246.4998779296875,104.41738891601562,36.7950325012207
2023-03-01,144.17584228515625,243.3867645263672,105.34840393066406,37.10166549682617
2023-03-02,144.77117919921875,248.17010498046875,105.83293151855469,37.40829086303711
2023-03-03,149.85118103027344,252.30113220214844,107.17245483398438,37.37112808227539
2023-03-06,152.62933349609375,253.86268615722656,108.12248992919922,37.55695343017578
2023-03-07,150.416748046875,251.17449951171875,106.03242492675781,36.980873107910156
2023-03-08,151.6768341064453,250.72975158691406,104.48387908935547,36.85078811645508
2023-03-09,149.4146270751953,249.36593627929688,103.67635345458984,36.55345916748047
2023-03-10,147.3409423828125,245.6796112060547,102.3938217163086,36.246826171875
2023-03-13,149.29556274414062,250.94720458984375,101.21578979492188,35.31766128540039
2023-03-14,151.39901733398438,257.7367858886719,101.5958023071289,35.54065704345703
2023-03-15,151.79586791992188,262.3323059082031,96.54167175292969,33.3106575012207
2023-03-16,154.63356018066406,272.9664001464844,95.98114013671875,33.09695053100586
2023-03-17,153.7902069091797,276.15850830078125,94.8506088256836,32.6788215637207
2023-03-20,156.17144775390625,269.0428466796875,97.33018493652344,33.26420211791992
2023-03-21,158.03680419921875,270.5746765136719,101.69080352783203,34.39778518676758
2023-03-22,156.59811401367188,269.1021423339844,99.36323547363281,34.21195602416992
2023-03-23,157.6895294189453,274.4092712402344,98.2422103881836,33.89604187011719
2023-03-24,158.9992218017578,277.2851867675781,98.35620880126953,33.33853530883789
2023-03-27,157.0446014404297,273.14422607421875,100.51278686523438,34.2677001953125
2023-03-28,156.41949462890625,272.00775146484375,101.76680755615234,34.77874755859375
2023-03-29,159.51519775390625,277.2259216308594,103.51484680175781,35.020328521728516
2023-03-30,161.09275817871094,280.72442626953125,104.01836395263672,35.2897834777832
2023-03-31,163.61294555664062,284.9247131347656,104.17987823486328,35.252620697021484
2023-04-03,164.87303161621094,283.8672790527344,110.3265380859375,36.92512893676758
2023-04-04,164.3372344970703,283.8177795410156,109.27200317382812,36.544166564941406
2023-04-05,162.48184204101562,281.0110168457031,111.1435546875,37.06449508666992
2023-04-06,163.3748321533203,288.1860656738281,109.30052185058594,36.71141052246094
2023-04-10,160.7653350830078,286.001953125,108.8160171508789,36.88795852661133
2023-04-11,159.54493713378906,279.5187072753906,109.58551788330078,37.03662872314453
2023-04-12,158.85040283203125,280.1710205078125,109.47151947021484,37.352542877197266
2023-04-13,164.26780700683594,286.4466552734375,109.98454284667969,37.59412384033203
2023-04-14,163.92051696777344,282.7900390625,110.25053405761719,37.705623626708984
2023-04-17,163.94033813476562,285.4187927246094,108.96800231933594,37.56624984741211
2023-04-18,165.1707000732422,284.9938659667969,111.09606170654297,37.77066421508789
2023-04-19,166.32164001464844,285.0729675292969,110.74455261230469,37.22246170043945
2023-04-20,165.3492431640625,282.76031494140625,109.86102294921875,37.03662872314453
2023-04-21,163.73199462890625,282.4144592285156,110.21253967285156,36.83220672607422
2023-04-24,164.03958129882812,278.4710998535156,112.29309844970703,37.25962448120117
2023-04-25,162.49176025390625,272.1955261230469,110.6970443725586,36.76716613769531
2023-04-26,162.48184204101562,291.91192626953125,109.6805191040039,36.6277961730957
2023-04-27,167.09552001953125,301.26116943359375,110.9915542602539,36.55345916748047
2023-04-28,168.35562133789062,303.6627197265625,112.42610168457031,37.42687225341797
2023-05-01,168.26632690429688,301.9826354980469,108.93949127197266,37.17599868774414
2023-05-02,167.22451782226562,301.8343811035156,104.5978775024414,34.17478561401367
2023-05-03,166.14303588867188,300.836181640625,102.53632354736328,33.8774528503418
2023-05-04,164.4959716796875,301.8343811035156,100.74077606201172,33.55224609375
2023-05-05,172.21527099609375,307.0130310058594,103.24885559082031,34.49999237060547
2023-05-08,172.14581298828125,305.03643798828125,103.6573486328125,34.40707778930664
2023-05-09,170.42930603027344,303.40576171875,103.68585968017578,34.36991882324219
2023-05-10,172.20533752441406,308.6535949707031,102.3558120727539,34.146915435791016
2023-05-11,172.3938446044922,306.47930908203125,100.50326538085938,33.78715515136719
2023-05-12,171.4599151611328,305.35272216796875,100.49375915527344,33.63686752319336
2023-05-15,170.963134765625,305.8369140625,100.68543243408203,33.993804931640625
2023-05-16,170.963134765625,308.09027099609375,98.24183654785156,33.38325119018555
2023-05-17,171.5791473388672,311.002197265625,100.44585418701172,33.815338134765625
2023-05-18,173.9239501953125,315.47906494140625,101.35620880126953,33.77775955200195
2023-05-19,174.0332489013672,315.3007507324219,101.82577514648438,33.84351348876953
2023-05-22,173.0794219970703,318.1136169433594,100.589599609375,33.712013244628906
2023-05-23,170.45639038085938,312.2501525878906,101.95993041992188,33.98440933227539
2023-05-24,170.73458862304688,310.8536376953125,103.10025787353516,33.85291290283203
2023-05-25,171.877197265625,322.8084411621094,101.25080871582031,33.21417236328125
2023-05-26,174.30149841308594,329.71185302734375,100.589599609375,33.392642974853516
2023-05-30,176.1594696044922,328.04791259765625,99.69841003417969,32.86662673950195
2023-05-31,176.10980224609375,325.2548522949219,97.91602325439453,31.664302825927734
2023-06-01,178.93153381347656,329.4048156738281,99.0467758178711,32.613014221191406
2023-06-02,179.78599548339844,332.1979064941406,101.34663391113281,33.486572265625
2023-06-05,178.42481994628906,332.73272705078125,100.896240234375,33.19538879394531
2023-06-06,178.05718994140625,330.49432373046875,101.72035217285156,33.157814025878906
2023-06-07,176.67613220214844,320.2926330566406,104.00104522705078,33.54293441772461
2023-06-08,179.408447265625,322.1547546386719,103.67522430419922,33.63686752319336
2023-06-09,179.79592895507812,323.67010498046875,102.90860748291016,33.317501068115234
2023-06-12,182.60772705078125,328.6817932128906,101.97908020019531,32.65998077392578
2023-06-13,182.1308135986328,331.0985107421875,101.99825286865234,32.951168060302734
2023-06-14,182.76670837402344,334.119384765625,100.77167510986328,32.9229850769043
2023-06-15,184.81344604492188,344.7766418457031,101.47120666503906,33.23295593261719
2023-06-16,183.73046875,339.0617370605469,100.742919921875,33.20478057861328
2023-06-20,183.81988525390625,334.8226013183594,98.43347930908203,32.941768646240234
2023-06-21,182.7766571044922,330.37548828125,99.5354995727539,33.27992630004883
2023-06-22,185.7970733642578,336.4667053222656,98.98928833007812,33.10145950317383
2023-06-23,185.47914123535156,331.821533203125,98.12684631347656,32.69755172729492
2023-06-26,184.0782012939453,325.46282958984375,99.93798065185547,33.10145950317383
2023-06-27,186.85025024414062,331.3758239746094,100.18711853027344,32.73511505126953
2023-06-28,188.0325927734375,332.64361572265625,101.00164794921875,32.7726936340332
2023-06-29,188.3704376220703,331.8512268066406,102.24739837646484,32.847843170166016
2023-06-30,192.7222442626953,337.288818359375,102.77445220947266,33.14842224121094
2023-07-03,191.2219696044922,334.76312255859375,102.9756851196289,33.74958419799805
2023-07-05,190.09922790527344,334.921630859375,102.44864654541016,33.157814025878906
2023-07-06,190.5761260986328,338.0118408203125,98.62512969970703,32.67876052856445
2023-07-07,189.45338439941406,334.0005187988281,98.8551254272461,33.11084747314453
2023-07-10,187.396728515625,328.66192626953125,100.32128143310547,33.073272705078125
2023-07-11,186.87014770507812,329.29583740234375,101.54786682128906,33.73080062866211
2023-07-12,188.5492706298828,333.9807434082031,102.0461654663086,34.10652160644531
2023-07-13,189.31430053710938,339.3885803222656,100.17754364013672,34.31317138671875
2023-07-14,189.46334838867188,341.94390869140625,96.72776794433594,33.364463806152344
2023-07-17,192.74212646484375,342.42926025390625,97.14939880371094,33.17660140991211
2023-07-18,192.48379516601562,356.05792236328125,96.70861053466797,33.61808395385742
2023-07-19,193.844970703125,351.69000244140625,97.37940216064453,33.956233978271484
2023-07-20,191.8876495361328,343.558349609375,99.09469604492188,34.32255935668945
2023-07-21,190.70529174804688,340.4879455566406,99.5546646118164,34.47285079956055
2023-07-24,191.51010131835938,341.815185546875,101.11664581298828,34.92372131347656
2023-07-25,192.37448120117188,347.629150390625,101.26997375488281,34.9706916809082
2023-07-26,193.2488250732422,334.54522705078125,100.70458221435547,34.84857940673828
2023-07-27,191.97705078125,327.5625915527344,101.02081298828125,34.43528366088867
2023-07-28,194.5702667236328,335.1394958496094,99.81340026855469,34.48225021362305
2023-07-31,195.186279296875,332.71295166015625,102.76486206054688,35.036441802978516
2023-08-01,194.35169982910156,333.12890625,102.1707534790039,34.71707534790039
2023-08-02,191.34120178222656,324.373291015625,100.896240234375,33.84351348876953
2023-08-03,189.9402618408203,323.54132080078125,102.6498794555664,34.24742126464844
2023-08-04,180.81930541992188,324.650634765625,102.93734741210938,34.56679153442383
2023-08-07,177.69952392578125,326.9583740234375,102.72653198242188,34.79222106933594
2023-08-08,178.6433868408203,322.9371337890625,103.23442077636719,34.726470947265625
2023-08-09,177.0437469482422,319.1536560058594,104.98805236816406,35.1491584777832
2023-08-10,176.82516479492188,319.8468933105469,105.52469635009766,35.24040222167969
2023-08-11,176.88485717773438,317.9452819824219,107.16332244873047,35.259403228759766
2023-08-14,178.54637145996094,320.9463195800781,107.24957275390625,34.86024475097656
2023-08-15,176.5465850830078,318.7871398925781,104.4961166381836,34.2805061340332
2023-08-16,175.6710968017578,318.0129699707031,102.73776245117188,34.10943603515625
2023-08-17,173.11416625976562,314.51922607421875,104.72798156738281,34.29951477050781
2023-08-18,173.60166931152344,314.1222229003906,106.31243133544922,34.442073822021484
2023-08-21,174.94479370117188,319.4819641113281,105.02748107910156,34.765201568603516
2023-08-22,176.3277130126953,320.0576171875,104.43814849853516,34.56562042236328
2023-08-23,180.1979217529297,324.5638122558594,103.52033233642578,34.21398162841797
2023-08-24,175.4820556640625,317.586181640625,102.74742889404297,33.995391845703125
2023-08-25,177.70068359375,320.5737609863281,104.58306121826172,34.35654067993164
2023-08-28,179.2726593017578,321.28839111328125,105.46223449707031,34.822227478027344
2023-08-29,183.18263244628906,325.9632873535156,106.09021759033203,35.259403228759766
2023-08-30,186.69467163085938,326.3404846191406,107.12396240234375,35.439979553222656
2023-08-31,186.91354370117188,325.31817626953125,107.42346954345703,35.33543395996094
2023-09-01,188.4954376220703,326.2114562988281,109.67454528808594,36.23830795288086
